,11,12,13,14,16,17,18,19,20,21,22,24,26,29,31,32,35,36,37,38,40,41,42,43,45,46,48,49,50,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,69,70,72,74,79,80,81,82,83,84,85,86,89,90,91,92,93,94,95,97,99,101,102,103,104,105,106,108,109,110,111,113,114,115,116,117,118,119,120,121,123,125,126
69,59,58,59,59,59,59,59,58,59,59,59,56,59,59,59,58,59,59,59,59,57,59,56,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,0,59,59,59,44,59,56,59,59,58,59,59,59,59,59,55,57,59,57,59,59,59,57,57,59,59,59,59,59,59,59,59,59,59,59,59,58,59,55,59,49,55,59
70,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,0,60,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
72,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,0,60,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
74,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,0,45,60,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
79,45,44,45,45,45,45,45,44,45,45,45,42,45,45,45,44,45,45,45,45,44,45,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,45,45,45,0,45,42,45,45,44,45,45,45,45,45,41,43,45,44,45,45,45,43,43,45,45,45,45,45,45,45,45,45,45,45,45,44,45,43,45,45,42,45
80,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,0,57,60,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
81,57,56,57,57,57,57,57,56,57,57,57,54,57,57,57,56,57,57,57,57,55,57,54,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,57,57,57,42,57,0,57,57,56,57,57,57,57,57,54,55,57,55,57,57,57,55,56,57,57,57,57,57,57,57,57,57,57,57,57,56,57,53,57,47,53,57
82,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,0,60,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
83,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,0,59,60,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
84,59,58,59,59,59,59,59,58,59,59,59,56,59,59,59,58,59,59,59,59,57,59,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,44,59,56,59,59,0,59,59,59,59,59,55,57,59,57,59,59,59,57,57,59,59,59,59,59,59,59,59,59,59,59,59,58,59,55,59,49,55,59
85,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,0,60,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
86,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,0,60,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
89,60,59,60,60,60,60,60,59,60,60,60,57,60,60,60,59,60,60,60,60,58,60,57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,45,60,57,60,60,59,60,60,0,60,60,56,58,60,58,60,60,60,58,58,60,60,60,60,60,60,60,60,60,60,60,60,59,60,56,60,50,56,60
