43,99,41.5,60
43,114,41.5,60
45,46,45.5,60
45,70,42.0,60
45,90,43.0,60
45,91,43.5,60
45,99,43.5,60
46,52,42.5,60
46,64,41.5,60
46,67,42.0,60
46,70,43.5,60
46,90,45.5,60
46,91,47.0,60
46,99,47.0,60
46,101,43.5,60
48,99,42.0,60
49,50,42.0,60
49,53,44.5,60
49,54,41.5,60
49,55,44.5,60
49,57,43.5,60
49,61,46.5,60
49,62,41.5,60
49,66,47.0,60
49,67,46.0,60
49,70,43.5,60
49,81,43.5,57
49,82,43.5,60
49,83,42.0,60
49,86,44.0,60
49,94,41.5,60
49,95,41.5,58
49,97,46.5,60
49,104,47.0,60
49,105,42.5,60
49,110,44.5,60
49,114,46.0,60
50,52,46.5,60
50,53,41.5,60
50,54,46.5,60
50,55,45.5,60
50,61,41.5,60
50,66,43.0,60
50,67,44.0,60
50,74,42.0,60
50,81,43.0,57
50,83,48.0,60
50,94,48.5,60
50,95,48.0,58
50,97,45.5,60
50,104,42.0,60
50,105,48.5,60
50,110,47.5,60
50,114,49.0,60
52,53,43.0,60
52,55,42.0,60
52,67,41.5,60
52,74,41.5,60
52,83,43.5,60
52,94,43.0,60
52,101,44.0,60
52,105,45.0,60
52,110,43.0,60
52,114,41.5,60
53,55,42.0,60
53,57,43.0,60
53,61,44.0,60
53,67,44.5,60
53,70,42.0,60
53,74,42.5,60
53,83,42.5,60
53,86,41.5,60
53,90,42.0,60
53,95,42.0,58
53,99,43.5,60
53,114,44.5,60
54,55,45.0,60
54,62,44.0,60
54,66,41.5,60
54,67,44.5,60
54,81,44.5,57
54,82,43.0,60
54,83,45.5,60
54,94,45.0,60
54,95,42.5,58
54,97,45.0,60
54,104,44.5,60
54,105,48.0,60
54,108,43.0,60
54,110,46.0,60
54,114,47.5,60
55,61,48.0,60
55,66,41.5,60
55,67,47.5,60
55,70,43.0,60
55,72,42.5,60
55,74,41.5,60
55,83,43.5,60
55,92,42.0,56
55,94,46.0,60
55,95,43.5,58
55,97,44.0,60
55,99,41.5,60
55,104,45.5,60
55,105,44.0,60
55,108,43.0,60
55,110,44.0,60
55,114,44.5,60
55,118,43.5,59
56,113,41.5,60
56,126,42.0,60
57,66,41.5,60
57,81,41.5,57
57,110,42.0,60
57,114,41.5,60
59,67,41.5,60
59,104,41.5,60
61,66,42.5,60
61,67,44.5,60
61,70,42.0,60
61,81,43.0,57
61,82,42.0,60
61,83,41.5,60
61,86,43.5,60
61,94,42.0,60
61,97,45.0,60
61,99,42.5,60
61,104,48.5,60
61,105,42.0,60
61,108,43.0,60
61,110,46.0,60
61,114,43.5,60
61,118,41.5,59
62,81,41.5,57
62,108,42.0,60
62,114,41.5,60
64,67,41.5,60
64,90,42.0,60
64,91,43.5,60
64,99,45.5,60
64,114,41.5,60
64,118,43.5,59
64,126,44.5,60
65,90,42.0,60
65,91,41.5,60
66,67,45.0,60
66,70,41.5,60
66,81,41.5,57
66,83,42.0,60
66,94,41.5,60
66,97,43.5,60
66,104,42.0,60
66,105,43.5,60
66,110,44.5,60
66,114,45.0,60
67,70,43.5,60
67,81,44.5,57
67,83,47.0,60
67,86,43.0,60
67,92,42.0,56
67,94,46.5,60
67,95,44.5,58
67,97,44.5,60
67,99,44.0,60
67,104,47.0,60
67,105,46.5,60
67,108,44.5,60
67,110,47.5,60
67,114,48.0,60
70,80,44.0,60
70,83,42.5,60
70,90,46.0,60
70,91,42.5,60
70,99,45.5,60
70,104,42.5,60
70,105,43.0,60
70,106,45.5,60
70,114,41.5,60
70,126,41.5,60
72,94,42.5,60
72,105,42.5,60
72,110,41.5,60
74,97,41.5,60
74,110,44.5,60
74,114,44.0,60
80,81,42.0,57
80,102,41.5,58
80,104,42.5,60
80,109,42.0,60
80,111,42.0,60
80,126,42.5,60
81,83,43.0,57
81,86,43.5,57
81,94,44.5,57
81,95,43.0,55
81,97,44.5,57
81,104,44.5,57
81,105,44.5,57
81,108,43.5,57
81,110,48.0,57
81,114,45.0,57
82,99,41.5,60
82,104,42.5,60
82,108,43.0,60
82,114,42.5,60
83,94,47.5,60
83,95,42.5,58
83,97,45.5,60
83,104,44.0,60
83,105,46.5,60
83,108,41.5,60
83,110,46.5,60
83,114,48.0,60
86,94,41.5,60
86,95,43.0,58
86,97,41.5,60
86,104,47.0,60
86,110,43.5,60
86,114,44.0,60
90,91,48.5,60
90,99,49.5,60
90,101,44.0,60
90,126,42.5,60
91,99,49.0,60
91,101,43.5,60
91,109,42.5,60
91,111,41.5,60
91,118,41.5,59
91,126,46.0,60
92,104,41.5,56
94,95,42.0,58
94,97,45.0,60
94,104,45.5,60
94,105,50.0,60
94,108,47.0,60
94,110,52.0,60
94,114,47.5,60
95,97,44.0,58
95,104,42.0,58
95,110,43.0,58
95,114,46.5,58
97,104,47.5,60
97,105,46.0,60
97,110,44.0,60
97,114,47.5,60
99,101,42.5,60
99,102,42.5,58
99,109,42.5,60
99,118,41.5,59
99,126,44.0,60
101,126,41.5,60
104,105,46.5,60
104,108,41.5,60
104,110,46.5,60
104,114,48.0,60
105,108,44.0,60
105,110,51.0,60
105,114,45.5,60
108,110,48.0,60
108,114,42.5,60
110,114,46.5,60
118,126,43.5,59
